"訪談日期","部門","new_GeneralInformation","new_Interviewer"
2017-12-18,"會本部. EBS","本(2017)年年初，ITI高雄校區105年班一年期經貿組學員曾參訪舊振南食品公司，並成功促成舊振南聘用該組學員何于凡。何員目前擔任行銷企劃職務，工作表現備受公司認可，爰舊振南相當重視與本中心學員之交流。本年度高雄校區106年班二年期英語組與東南亞語組共37名學員於12月18日再度前往參訪舊振南，除透過鳳梨酥手作體驗，讓學員們感受舊振南百餘年來「以手工製作最精緻的中式糕點」的堅持，在這強調機械化與自動化的時代裡，是多麼地難能可貴，更藉由舊振南新生代接班人李立元品牌經理的介紹，讓學員們得以更深入地認識舊振南，「Taste Local, Link Global」是讓學員們印象最深的一句話，也是舊振南的品牌精神。除了品質上維持傳統堅持手作，運用在地食材以保有台灣特色韻味外，在行銷推廣面亦勇於創新嘗試、突破窠臼，透過與跨境電商與國際通路的合作，將品牌能見度推升至國際，更培植設計團隊，以提升產品質感和價值，不一昧守舊的經營理念，賦予傳統漢餅新的形象，藉由李經理的實務經驗分享，讓學員們得以將數位行銷課中所學相互應證。這次的參訪，讓學員們感受到原來百年餅店也能在新時代的薰陶下呈現出獨樹一格的品牌新風貌，堅持漢餅文化的同時，透過科技管理系統、數位行銷及多元通路的導入，為其品牌打下深厚基礎，進而讓「舊振南」更加貼近消費者的需求並站穩國際舞台。希冀藉由參訪南部指標性企業，能讓更多南部廠商們認識本中心，進而促成更多人才媒合機會。","梁勝威專員"
2017-12-15,"會本部. EBS","1. 106.11.25 前來本處上課:  巴西 日本 越南 市場商機2. 謝先生表示此次課題與上課內容相符","賴軒如"
2017-12-15,"會本部. EBS","1. 怡佳公司成立於2003年，主要產品為美粧保養品，全產品於台中工廠製造。2011年參加武漢台灣名品展，之後一直跟隨台灣名品展腳步在中國大陸各城市行銷。目前在廣州、東莞、肇慶等地設立正式登記之直營店，另外於蘭州及河北也有代理商及旗艦店。2. 除了經銷代理商外，怡佳公司多年前即進入跨境電商，但成效不佳。目前也在淘寶及阿里巴巴網站上架；另外最大宗行銷的是微商通路，光是微信的上下游買家就有100多人，再利用微信支付，很容易快速銷售產品及宣傳，獲利頗佳。3. 由於中國大陸老齡人口增加，養生會所林立，加盟店數與日俱增，怡佳公司的面膜產品深受好評，目前華北，華中，華南地區就有3000家養生會館採購面膜及染髮劑，初次訂單就有60萬人民幣，未來若是大量訂貨，商機可期。4. 怡佳公司2年前曾進駐馬來西亞屈臣氏銷售，後因馬幣崩跌不堪虧損而撤出。另外也曾進入印尼市場的巴林巴林電商平台，以及新加坡星洲購物網站logon。 2017年因應政府南向政策，10月份再去馬國探堪華人市場，未來將參加本會的東協活動，繼續開發東協市場。5. 未來怡佳公司將繼續參加本會舉辦之中國大陸展團活動，也會嚐試重新進入東協市場，開啟華人市場商機。","余廣怡"
2017-12-15,"會本部. EBS",NA,"賴軒如"
2017-12-15,"會本部. EBS","1. 106.11.25 前來本處上課:  巴西 日本 越南 市場商機2. 張小姐表示此次課題與上課內容相符。 ","賴軒如"
2017-12-15,"會本部. EBS",NA,"雷以安"
2017-12-15,"會本部. EBS","講師授課表現精彩、服務內容滿意","林建佑"
2017-12-15,"會本部. EBS","課程適中，服務滿意","林建佑"
2017-12-15,"會本部. EBS","內容實用性佳，講師授課表滿意","林建佑"
2017-12-15,"會本部. EBS","整體服務滿意,內容實用","林建佑"
