group,string,score,dataId,idG
group76,47th NEPCON JAPAN 2018 http://www.nepconjapan.jp/,0.6764268233,3321,1
group76,1st NEPCON JAPAN Nagoya 2018 http://www.nepconjapan-nagoya.jp/,0.5345493464,4711,1
group77,46th NEPCON JAPAN 2017 http://www.nepconjapan.jp/,0.6653123615,77,0
group77,46th INTERNEPCON JAPAN http://www.nepcon.jp/,1,78,0
group77,47th INTERNEPCON JAPAN http://www.nepcon.jp/,0.7010776964,3337,1
group78,34th ELECTROTEST JAPAN http://www.electrotest.jp/,1,79,0
group78,35th ELECTROTEST JAPAN http://www.electrotest.jp/,0.8396394636,3338,1
group79,18th IC PACKAGING TECHNOLOGY EXPO(ICP) http://www.icp-expo.jp/,1,80,0
group79,19th IC & SENSOR PACKAGING TECHNOLOGY EXPO(ISP 2018) http://www.icp-expo.jp/,0.6731877976,3342,1
group80,7th FINE PROCESS TECHNOLOGY EXPO http://www.fp-expo.jp/,1,81,0
group80,8th FINE PROCESS TECHNOLOGY EXPO http://www.fp-expo.jp/,0.8786211164,3343,1
group81,PWB EXPO - 18th Printed Wiring Boards Expo(PWB EXPO) http://www.pwb.jp,1,82,0
group81,PWB EXPO - 19th Printed Wiring Boards Expo(PWB 2018) http://www.pwb.jp,0.9536340769,3340,1
group82,18th ELECTRONIC COMPONENTS & MATERIALS EXPO http://www.ele-expo.jp/,1,83,0
group82,19th ELECTRONIC COMPONENTS & MATERIALS EXPO http://www.ele-expo.jp/,0.8593342282,3339,1
group83,8th EV & HEV Drive System Technology Expo(EV JAPAN) http://www.evjapan.jp/,1,84,0
group83,EV JAPAN - 9th EV & HEV Drive System Technology Expo(EV JAPAN) http://www.evjapan.jp/,0.9391161268,3329,1
group83,EV JAPAN Nagoya - 1st EV & HEV Drive System Technology Expo http://www.evjapan-nagoya.jp/,0.8464433298,4703,1
group84,5th Connected Car JAPAN http://www.connected-car.jp/,1,85,0
group84,6th Connected Car JAPAN http://www.connected-car.jp/,0.9383870657,3331,1
group84,1st Connected Car Nagoya http://www.connected-car-nagoya.jp/,0.8027539039,4705,1
group85,1st SMART AUTOMOTIVE FACTORY EXPO http://www.sma-fac.jp/,1,86,0
group85,2nd SMART FACTORY EXPO http://www.sma-fac.jp/,0.8375557224,3333,1
group85,1st SMART FACTORY EXPO Nagoya(SFE Nagoya) http://www.sma-fac-nagoya.jp/,0.5751382574,4697,1
group86,9th AUTOMOTIVE WORLD 2017 http://www.automotiveworld.jp/,1,87,0
group86,10th AUTOMOTIVE WORLD 2018 http://www.automotiveworld.jp/,0.7823697279,3327,1
group86,1st AUTOMOTIVE WORLD Nagoya 2018 http://www.automotiveworld-nagoya.jp/,0.5743437415,4712,1
group87,CAR-ELE JAPAN-9th Int'l Automotive Electronics Technology Expo http://www.car-ele.jp/,1,88,0
group87,CAR-ELE JAPAN-10th Int'l Automotive Electronics Technology Expo http://www.car-ele.jp/,0.9484164328,3328,1
group87,CAR-ELE Nagoya - 1st Nagoya Automotive Electronics Technology Expo http://www.car-ele-nagoya.jp/,0.7229109878,4702,1
group88,7th Automotive Lightweight Technology Expo http://www.altexpo.jp/,1,89,0
group88,8th Automotive Lightweight Technology Expo http://www.altexpo.jp/,0.8751915301,3330,1
group88,1st Automotive Lightweight Technology Expo http://www.altexpo-nagoya.jp/,0.8098903648,4704,1
group89,CAR-MECHA JAPAN - 3rd Automotive Components & Processing Technology Expo http://www.actpt.jp/,1,90,0
group89,CAR-MECHA JAPAN - 4th Automotive Components & Processing Technology Expo http://www.actpt.jp/,0.912753732,3332,1
group89,CAR-MECHA Nagoya - 1st Nagoya Automotive Components & Processing Technology Expo http://www.actpt-nagoya.jp/,0.6302044448,4706,1
group90,9th LIGHT-TECH Expo http://www.light-technology.jp/,1,91,0
group90,10th LED & LASER DIODE TECHNOLOGY EXPO(L-tech) http://www.light-technology.jp/,0.5381745313,3344,1
group90,Light+Building 2018 http://light-building.messefrankfurt.com/,0.5927459353,3934,1
group90,Light India 2018(LI 2018) http://www.light-india.in/,0.5532280552,4820,1
group91,International Tourism Trade Fair(FITUR 2017) http://www.ifema.es/fitur_06/,1,92,0
group91,FITUR 2018 - International Tourism Trade Fair http://www.ifema.es/fitur_06/,0.9816877637,3324,1
group92,The International Surface Event(TISE 2017) https://tisewest.com/,1,93,0
group93,3rd WEARABLE EXPO - Wearable Device & Technology Expo http://www.wearable-expo.jp/,1,94,0
group93,4th WEARABLE EXPO - Wearable Device & Technology Expo http://www.wearable-expo.jp/,0.9610532386,3334,1
group94,RoboDEX - 1st Robot Development & Application Expo http://www.robodex.jp/,1,95,0
group94,RoboDEX - 2nd Robot Development & Application Expo http://www.robodex.jp/,0.9398148031,3335,1
group94,RoboDEX Nagoya - 1st Robot Development & Application Expo http://www.robodex-nagoya.jp/,0.8661235147,4696,1
group95,Food Hospitality World Mumbai(FHW Mumbai 2017) http://www.fhwexpo.com,1,96,0
group95,FHW India - Food Hospitality World Mumbai http://www.fhwexpo.com,0.9077756625,3354,1
group96,9th India Rubber Expo 2017(IRE 2017) http://www.indiarubberexpo.in/,1,97,0
group97,International Plastics Exhibition & Conference(10th Plastivision India 2017) http://www.plastivision.org/home,1,98,0
group97,4th PLASTIVISION ARABIA 2017 http://www.plastivision.ae/,0.662004135,3239,0
group98,HAUSLBAUERMESSE Graz http://www.mcg.at/haeuslbauergraz.at/2016/de/index_2016.php,1,99,0
group99,International Travel Fair & International Fair for Regional Tourism(GO - REGIONTOUR 2017) http://www.bvv.cz/en/go-regiontour/,1,100,0
group99,GO - REGIONTOUR 2018 - International Travel Fair & International Fair for Regional Tourism http://www.bvv.cz/en/go-regiontour/,0.9938950824,3352,1
group100,2017 NAMM Show http://www.namm.org/thenammshow,1,101,0
group100,2017 Summer NAMM https://www.namm.org/summer/,0.6811336922,1809,0
group100,Namm Musikmesse Russia http://www.namm-musikmesse.ru,0.5556234777,2244,0
group100,2018 NAMM Show http://www.namm.org/thenammshow,0.9848554233,3429,1
group101,Creativation http://www.creativationshow.org/,1,102,0
group101,Creativation http://www.creativationshow.org/,1,3348,1
group102,Destinations: the holiday & travel show http://www.destinationsshow.com,1,103,0
group102,Destinations: The Holiday & Travel Show http://www.destinationsshow.com,1,220,0
group102,Destinations: The Holiday & Travel Show http://www.destinationsshow.com,1,3479,1
group103,"3rd Contract-oriented Trade Fair for Decorations, Glasware, Home and Kitchen Accessories(FOR DECOR AND HOME) http://fordecor.cz/2015/cz/intercept.asp",1,104,0
group103,"4th Autumn Contract-Oriented Trade Fair for Decorations, Glassware, Home and Kitchen Accessories and Giftware(FOR DECOR & HOME) http://fordecor.cz/",0.7120185353,2109,0
group104,12th Inernational Agriculture and Livestock Exhibition(AGRO EXPO 2017) http://www.agroexpo.com.tr/en/,1,105,0
group104,AGROEXPO 2018 - 13th International Agriculture and Livestock Exhibition http://www.agroexpo.com.tr/,0.6742414009,3477,1
group105,"5th International Exhibition and Conference on Banking Technology, Equipment & Services(IBEX India) http://www.ibexindia.com/",1,106,0
group106,Interior Design Show (IDS) http://www.interiordesignshow.com/,1,107,0
group106,IDS - Interior Design Show http://www.interiordesignshow.com/,1,2481,0
group106,IDS 2018 -  Interior Design Show http://www.interiordesignshow.com/,0.9843750081,3349,1
group107,American Made Show http://americanmadeshow.com/,1,108,0
group108,Motor Bike Expo(MBE) http://www.motorbikeexpo.it/,1,109,0
group108,MBE - Motor Bike Expo http://www.motorbikeexpo.it/,1,3346,1
group109,T-Gold 2017 http://www.vicenzafiera.it/it/fiere/t-gold,1,110,0
group109,T-Gold 2018 http://www.vicenzafiera.it/en/fairs/t-gold,0.8349590155,3357,1
group110,MAN PARIS(MAN) http://www.man-woman.co/,1,111,0
group110,MAN NEW YORK(MAN) http://www.man-woman.co/,0.9274567994,148,0
group110,WOMAN - WOMAN NEW YORK http://www.man-woman.co/,0.5694802831,422,0
group110,WOMAN PARIS AW17 http://www.man-woman.co/,0.6627679628,550,0
group110,MAN PARIS SS18 http://manwomanshows.com/,0.552766584,1679,0
group111,Order Goods Business Show 2017(OGBS osaka 2017) http://ogbs.jp/,1,112,0
group112,Capsule - Capsule Paris Men's http://capsuleshow.com/,1,113,0
group112,Capsule - Capsule New York Men's http://capsuleshow.com/,0.8743622856,149,0
